Accession,Temperature,Replicate,Abundance
Q4J7Q1,82.1,REP3,394322740.464978
Q4J7Q1,85.9,REP3,267714890.113641
Q4J7Q1,89.7,REP3,128898453.232092
Q4J7Q1,78.3,REP3,441777325.433844
Q4J7Q1,71.3,REP3,479752502.280427
Q4J7Q1,74.3,REP3,346098396.787276
Q4J7Q1,93.7,REP3,15720831.4297227
Q4J7Q1,96.7,REP3,12861234.3703996
Q4J7Q1,69.5,REP3,359331170.751094
Q4J7Q1,99.3,REP3,12540537.9109083
Q4J7Q1,98.6,REP3,15032863.2305481
Q4J7Q1,68.8,REP3,599804965.035323
Q4JBK3,68.8,REP1,5078925.7254602
Q4JBK3,98.6,REP1,302153.574651393
Q4JBK3,99.3,REP1,3938972.44052073
Q4JBK3,69.5,REP1,4196765.10582956
Q4JBK3,74.3,REP1,2053568.64283674
Q4JBK3,71.3,REP1,4524334.20748822
Q4JBK3,93.7,REP1,694839.423423067
Q4JBK3,89.7,REP1,2914040.16426788
Q4JBK3,85.9,REP1,3017554.09994066
Q4JBK3,96.7,REP1,3291857.75418642
Q4JBK3,78.3,REP1,5399783.18045501
Q4JBK3,82.1,REP1,2866713.55249728
Q4J916,68.8,REP1,119678265.221149
Q4J916,98.6,REP1,76670350.6127472
Q4J916,99.3,REP1,71419231.5513699
Q4J916,69.5,REP1,89720581.6150254
Q4J916,74.3,REP1,71087097.6150793
Q4J916,71.3,REP1,118614640.696394
Q4J916,93.7,REP1,80555369.1091293
Q4J916,89.7,REP1,121360509.175023
Q4J916,85.9,REP1,91288991.8581232
Q4J916,96.7,REP1,82962838.3329093
Q4J916,78.3,REP1,114822661.816031
Q4J916,82.1,REP1,82440551.4834769
Q4J910,68.8,REP1,96500169.7577951
Q4J910,98.6,REP1,25589830.6405145
Q4J910,99.3,REP1,31510354.7391763
Q4J910,69.5,REP1,62674847.5770543
Q4J910,74.3,REP1,59198126.7308362
Q4J910,71.3,REP1,83420853.4368385
Q4J910,93.7,REP1,27036848.0907977
Q4J910,89.7,REP1,84295170.4347122
Q4J910,85.9,REP1,66198771.1969533
Q4J910,96.7,REP1,20733769.0992949
Q4J910,78.3,REP1,88309555.4412568
Q4J910,82.1,REP1,80245233.0373842
Q4JC28,93.7,REP2,2225256.22527176
Q4JC28,69.5,REP2,4176146.66164292
Q4JC28,71.3,REP2,3683962.35758713
Q4JC28,89.7,REP2,2787935.22352599
Q4JC28,68.8,REP2,4562465.62087612
Q4JC28,98.6,REP2,0.0
Q4JC28,78.3,REP2,3632979.44163115
Q4JC28,96.7,REP2,4377479.913711
Q4JC28,74.3,REP2,2827836.19934135
Q4JC28,99.3,REP2,0.0
Q4JC28,82.1,REP2,2277532.02967351
Q4JC28,85.9,REP2,4335865.61872242
Q4JCH3,82.1,REP3,16784227.6002705
Q4JCH3,85.9,REP3,15451040.7282059
Q4JCH3,89.7,REP3,26062921.9656844
Q4JCH3,78.3,REP3,30199681.4623888
Q4JCH3,71.3,REP3,37614754.148968
Q4JCH3,74.3,REP3,14709872.7336337
Q4JCH3,93.7,REP3,9050560.50623251
Q4JCH3,96.7,REP3,26262692.9195254
Q4JCH3,69.5,REP3,37663088.3617363
Q4JCH3,99.3,REP3,30445323.6982313
Q4JCH3,98.6,REP3,23069041.2953245
Q4JCH3,68.8,REP3,36383895.798146
Q4J7R9,68.8,REP1,2675313.91438195
Q4J7R9,98.6,REP1,0.0
Q4J7R9,99.3,REP1,0.0
Q4J7R9,69.5,REP1,667606.72208053
Q4J7R9,74.3,REP1,2517527.20736784
Q4J7R9,71.3,REP1,2515601.9280952
Q4J7R9,93.7,REP1,176193.478708177
Q4J7R9,89.7,REP1,1204071.7546367
Q4J7R9,85.9,REP1,1450594.95082629
Q4J7R9,96.7,REP1,1734989.35090586
Q4J7R9,78.3,REP1,5039925.68561007
Q4J7R9,82.1,REP1,2697838.84257808
